house_url,address,features,price
https://www.zillow.com/homedetails/501-Tidal-Wave-Ln-Jacksonville-FL-32218/44509392_zpid/,"501 Tidal Wave Ln, Jacksonville, FL 32218","3   bds 2   ba 1,349   sqft -  ","$332,000"
https://www.zillow.com/homedetails/13940-Crestwick-Dr-W-Jacksonville-FL-32218/62776969_zpid/,"13940 CRESTWICK DR W, Jacksonville, FL 32218","3   bds 2   ba 1,574   sqft -  ","$328,000"
,,,
https://www.zillow.com/homedetails/14926-Thomas-Mill-Rd-E-Jacksonville-FL-32218/44432327_zpid/,"14926 THOMAS MILL RD, Jacksonville, FL 32218","4   bds 3   ba 2,390   sqft -  ","$530,000"
https://www.zillow.com/homedetails/679-Sid-Dr-Jacksonville-FL-32218/71034594_zpid/,"679 SID DR, Jacksonville, FL 32218","5   bds 2   ba 1,969   sqft -  ","$379,000"
https://www.zillow.com/homedetails/340-Anthony-Dr-Jacksonville-FL-32218/2062909131_zpid/,"340 ANTHONY DR, Jacksonville, FL 32218","3   bds 3   ba 1,555   sqft -  ","$259,585"
https://www.zillow.com/homedetails/1189-Summer-Bluff-Rd-Jacksonville-FL-32218/65433557_zpid/,"1189 SUMMER BLUFF RD, Jacksonville, FL 32218","3   bds 2   ba 1,591   sqft -  ","$315,000"
https://www.zillow.com/homedetails/1352-Marsh-Grass-Ct-Jacksonville-FL-32218/66133742_zpid/,"1352 MARSH GRASS CT, Jacksonville, FL 32218","4   bds 2   ba 1,914   sqft -  ","$431,000"
https://www.zillow.com/homedetails/1333-Howard-Rd-Jacksonville-FL-32218/44512649_zpid/,"1333 HOWARD RD, Jacksonville, FL 32218","3   bds 2   ba 1,548   sqft -  ","$380,000"
https://www.zillow.com/homedetails/4160-Raywill-Rd-Jacksonville-FL-32218/44432335_zpid/,"4160 RAYWILL RD, Jacksonville, FL 32218","3   bds 4   ba 2,592   sqft -  ","$700,000"
https://www.zillow.com/homedetails/1533-Kingfisher-Ln-N-Jacksonville-FL-32218/44433338_zpid/,"1533 Kingfisher Ln N, Jacksonville, FL 32218","3  bds 2  ba 1,256  sqft -","$243,000"
https://www.zillow.com/homedetails/10603-Dodd-Rd-Jacksonville-FL-32218/44454510_zpid/,"10603 Dodd Rd, Jacksonville, FL 32218","3  bds 1.5  ba 1,645  sqft -","$185,000"
https://www.zillow.com/homedetails/16284-Hunters-Hollow-Trl-Jacksonville-FL-32218/109756224_zpid/,"16284 Hunters Hollow Trl, Jacksonville, FL 32218","4  bds 4  ba 2,566  sqft -","$475,000"
https://www.zillow.com/homedetails/10425-Bessent-Rd-N-Jacksonville-FL-32218/44434668_zpid/,"10425 Bessent Rd N, Jacksonville, FL 32218","4  bds 2  ba 1,728  sqft -","$266,000"
https://www.zillow.com/homedetails/2937-Tinsley-Rd-Jacksonville-FL-32218/44434994_zpid/,"2937 Tinsley Rd, Jacksonville, FL 32218","5  bds 2  ba 2,147  sqft -","$200,000"
https://www.zillow.com/homedetails/13963-Summer-Breeze-Dr-E-Jacksonville-FL-32218/82996921_zpid/,"13963 Summer Breeze Dr E, Jacksonville, FL 32218","4  bds 3  ba 2,414  sqft -","$215,000"
https://www.zillow.com/homedetails/11823-Leafdale-Cir-E-Jacksonville-FL-32218/44510840_zpid/,"11823 LEAFDALE CIR E, Jacksonville, FL 32218","4  bds 2  ba 2,066  sqft -","$482,000"
https://www.zillow.com/homedetails/15684-Tisons-Bluff-Rd-Jacksonville-FL-32218/109769560_zpid/,"15684 TISONS BLUFF RD, Jacksonville, FL 32218","4  bds 3  ba 2,426  sqft -","$400,000"
https://www.zillow.com/homedetails/12428-Woodland-Dr-Jacksonville-FL-32218/44509486_zpid/,"12428 WOODLAND DR, Jacksonville, FL 32218","3  bds 2  ba 1,412  sqft -","$285,000"
https://www.zillow.com/homedetails/6656-Digby-Ln-Jacksonville-FL-32218/109755034_zpid/,"6656 DIGBY LN, Jacksonville, FL 32218","3  bds 3  ba 2,406  sqft -","$431,150"
https://www.zillow.com/homedetails/390-Auburn-Oaks-Rd-E-Jacksonville-FL-32218/109774181_zpid/,"390 AUBURN OAKS RD E, Jacksonville, FL 32218","3  bds 3  ba 2,754  sqft -","$360,000"
https://www.zillow.com/homedetails/818-Lord-Nelson-Blvd-Jacksonville-FL-32218/71039190_zpid/,"818 LORD NELSON BLVD, Jacksonville, FL 32218","5  bds 3  ba 3,092  sqft -","$488,000"
https://www.zillow.com/homedetails/2322-Dolphin-Ave-Jacksonville-FL-32218/44454432_zpid/,"2322 Dolphin Ave, Jacksonville, FL 32218",3  bds 1.5  ba 968  sqft -,"$75,500"
https://www.zillow.com/homedetails/249-Drury-Ln-Jacksonville-FL-32218/44509086_zpid/,"249 Drury Ln, Jacksonville, FL 32218","4  bds 2  ba 1,327  sqft -","$90,000"
https://www.zillow.com/homedetails/11411-Elane-Dr-Jacksonville-FL-32218/44513036_zpid/,"11411 ELANE DR, Jacksonville, FL 32218","3  bds 2  ba 1,690  sqft -","$301,000"
https://www.zillow.com/homedetails/3734-Jacob-Lois-Dr-W-Jacksonville-FL-32218/71036624_zpid/,"3734 JACOB LOIS DR W, Jacksonville, FL 32218","4  bds 2  ba 2,054  sqft -","$326,000"
https://www.zillow.com/homedetails/11351-Inez-Dr-Jacksonville-FL-32218/44513001_zpid/,"11351 Inez Dr, Jacksonville, FL 32218","3  bds 2  ba 1,556  sqft -","$300,000"
https://www.zillow.com/homedetails/15670-Moss-Hollow-Dr-Jacksonville-FL-32218/44510219_zpid/,"15670 MOSS HOLLOW DR, Jacksonville, FL 32218","3  bds 2  ba 1,400  sqft -","$286,000"
https://www.zillow.com/homedetails/10417-Piedmont-Rd-Jacksonville-FL-32218/44454038_zpid/,"10417 PIEDMONT RD, Jacksonville, FL 32218","4  bds 2  ba 1,156  sqft -","$205,000"
https://www.zillow.com/homedetails/14612-Zachary-Dr-Jacksonville-FL-32218/82985173_zpid/,"14612 ZACHARY DR, Jacksonville, FL 32218","4  bds 2  ba 2,216  sqft -","$415,000"
https://www.zillow.com/homedetails/5903-Copper-Creek-Dr-Jacksonville-FL-32218/44434145_zpid/,"5903 COPPER CREEK DR, Jacksonville, FL 32218","3  bds 2  ba 1,978  sqft -","$348,000"
https://www.zillow.com/homedetails/757-Baisden-Rd-Jacksonville-FL-32218/44512557_zpid/,"757 Baisden Rd, Jacksonville, FL 32218","2  bds 1  ba 1,188  sqft -","$80,000"
https://www.zillow.com/homedetails/958-Corsica-Ln-Jacksonville-FL-32218/82984999_zpid/,"958 CORSICA LN, Jacksonville, FL 32218","5  bds 5  ba 3,059  sqft -","$456,000"
https://www.zillow.com/homedetails/581-Hardeeville-Ct-Jacksonville-FL-32218/83003009_zpid/,"581 Hardeeville Ct, Jacksonville, FL 32218","5  bds 4  ba 2,732  sqft -","$380,000"
https://www.zillow.com/homedetails/10649-Haverford-Rd-Jacksonville-FL-32218/44454150_zpid/,"10649 HAVERFORD RD, Jacksonville, FL 32218","3  bds 1  ba 1,101  sqft -","$145,000"
https://www.zillow.com/homedetails/5212-Parete-Cir-Jacksonville-FL-32218/44432821_zpid/,"5212 Parete Cir, Jacksonville, FL 32218","3  bds 1  ba 1,188  sqft -","$300,000"
https://www.zillow.com/homedetails/16290-Hunters-Hollow-Trl-Jacksonville-FL-32218/109756445_zpid/,"16290 Hunters Hollow Trl, Jacksonville, FL 32218","4  bds 2  ba 2,089  sqft -","$362,000"
https://www.zillow.com/homedetails/12285-Elsa-Ct-Jacksonville-FL-32218/71036550_zpid/,"12285 Elsa Ct, Jacksonville, FL 32218","4  bds 2  ba 2,178  sqft -","$265,500"
https://www.zillow.com/homedetails/9310-Parker-Ave-Jacksonville-FL-32218/44436024_zpid/,"9310 Parker Ave, Jacksonville, FL 32218","4  bds 3  ba 2,304  sqft -",$5.05M
https://www.zillow.com/homedetails/528-Broward-Rd-Jacksonville-FL-32218/44435978_zpid/,"528 BROWARD RD, Jacksonville, FL 32218","4  bds 3  ba 3,050  sqft -","$835,000"
