street_no,street_name,zipcode
12675,fort caroline,32225
11648,francisake,32225
11034,mandarination,32257
3345,bishop estates,32259
1106,eutaw,32207
13858,soft wind,32224
1151,eveningroll,32221
400, bay suite,32202
14906,fishhawk preserve,32206
3371,maryaper,32223
12220,three springmoor,32225
13304,old augustine,32258
8184,blazingar,32210
13994,red rock lake,32226
1747,maritime,32233
11038,fort george,32226
8184,blazingar,32210
13304,old augustine,32258
12220,three springmoor,32225
3371,maryaper,32223
14906,fishhawk preserve,32206
400, bay suite,32202
1151,eveningroll,32221
13858,soft wind,32224
