street_address,zip_code,city,state
7664 OLD KINGS RD S,32217,Jacksonville,FL
5506 KEYSTONE DR S,32207,Jacksonville,FL
912 SHIPWATCH DR E,32225,Jacksonville,FL
11515 KELVYN GROVE PL,32225,Jacksonville,FL
6306 BAYFIELD DR,32277,Jacksonville,FL
3905 ST ISABEL DR E,32277,Jacksonville,FL
4322 WOODMERE ST,32210,Jacksonville,FL
1895 WOODLEIGH DR W,32211,Jacksonville,FL
4512 BENTLEY TRACE LN N,32257,Jacksonville,FL
5393 JULINGTON CREEK RD,32258,Jacksonville,FL
7907 DAWSONS CREEK DR,32222,Jacksonville,FL
6119 FIRESTONE RD,32244,Jacksonville,FL
12152 CATTAIL LN,32223,Jacksonville,FL
13033 SAWPIT RD,32226,Jacksonville,FL
2119 VALENCIA DR,32207,Jacksonville,FL
8244 LAKE WOODBOURNE DR,32217,Jacksonville,FL
2926 SCOTT MILL LN,32223,Jacksonville,FL
3324 SCRUB OAK LN,32223,Jacksonville,FL
3386 HAMPSTEAD DR,32225,Jacksonville,FL
325 Franklin Brook Ln,32225,Jacksonville,FL
2870 CHRISTOPHER CREEK RD N,32217,Jacksonville,FL
14010 ATHENS DR,32223,Jacksonville,FL
5419 RIVER RD S,32211,Jacksonville,FL
10960 HAMILTON DOWNS CT,32257,Jacksonville,FL
4233 ALDINGTON DR,32210,Jacksonville,FL
11009 ROCK ISLAND RD,32257,Jacksonville,FL
6998 SAN FERNANDO PL,32217,Jacksonville,FL
111 E 54th St,32208,Jacksonville,FL
8467 SANTANA CT,32220,Jacksonville,FL
5439 PITTMAN DR N,32207,Jacksonville,FL
3308 RIBAULT SCENIC DR,32208,Jacksonville,FL
6360 LOUIS CLARK CT,32222,Jacksonville,FL
9059 HAMPTON LANDING DR,32256,Jacksonville,FL
13733 SANDY CREEK DR,32224,Jacksonville,FL
3047 CROSBY LN,32216,Jacksonville,FL
1931 DERRINGER RD,32225,Jacksonville,FL
7805 BAYMEADOWS CIR W,32256,Jacksonville,FL
5342 MORGAN HORSE DR N,32257,Jacksonville,FL
13481 LONG CYPRESS TRL,32223,Jacksonville,FL
14699 MOORE BRANCH RD,32234,Jacksonville,FL
4143 FERBER RD,32277,Jacksonville,FL
5590 LA MOYA AVE,32210,Jacksonville,FL
3066 DONATO DR N,32226,Jacksonville,FL
2851 CASA DEL RIO TER,32257,Jacksonville,FL
2758 COACHMAN LAKES DR,32246,Jacksonville,FL
8601 BEACH BLVD UNIT 804,32216,Jacksonville,FL
3512 WATERCHASE WAY E,32224,Jacksonville,FL
9426 CEDAR DELL CT,32257,Jacksonville,FL
1226 MCGIRTS CREEK DR W,32221,Jacksonville,FL
11789 CAROLWOOD LN,32258,Jacksonville,FL
4252 BLEINHEIM PL,32225,Jacksonville,FL
12516 CONDOR DR,32223,Jacksonville,FL
