street_address,zip_code,city,state
7018 Butterfly Ct,32258,Jacksonville,FL
11041 MANDARIN PRESERVE DR,32257,Jacksonville,FL
2937 TINSLEY RD,32218,Jacksonville,FL
3973 ALHAMBRA DR W,32207,Jacksonville,FL
8444 GRAYLING DR,32256,Jacksonville,FL
5340 GATHERING OAKS CT E,32258,Jacksonville,FL
582 CARINA LN,32225,Jacksonville,FL
14090 CRESTWICK DR E,32218,Jacksonville,FL
1796 STERNWHEEL DR,32223,Jacksonville,FL
2304 FOXHAVEN DR W,32224,Jacksonville,FL
4616 SHILOH MILL BLVD,32246,Jacksonville,FL
9262 HAWKS RUN LN,32222,Jacksonville,FL
4242 MELROSE AVE,32210,Jacksonville,FL
14164 BLANCHE RD,32223,Jacksonville,FL
1786 PROVIDENCE HOLLOW LN,32223,Jacksonville,FL
2015 VISCONTI DR,32211,Jacksonville,FL
5928 CLIFTON AVE,32211,Jacksonville,FL
4518 LAWNVIEW ST,32205,Jacksonville,FL
8360 N BARQUERO CT,32217,Jacksonville,FL
2295 HUCKINS CT,32225,Jacksonville,FL
26 FORESTVIEW LN,32081,Ponte Vedra,FL
4325 BUCK POINT RD,32210,Jacksonville,FL
1061 CHATFORD RD,32207,Jacksonville,FL
1431 RIVERPLACE BLVD UNIT 1507,32207,Jacksonville,FL
8313 CHASON RD E,32244,Jacksonville,FL
944 ELDER LN,32207,Jacksonville,FL
4420 SEABREEZE DR,32250,Jacksonville,FL
11708 CRUSSELLE DR,32223,Jacksonville,FL
14480 MAGNOLIA SPRINGS LN E,32258,Jacksonville,FL
14837 INGLE LN,32223,Jacksonville,FL
6716 BAKERSFIELD DR,32210,Jacksonville,FL
9203 JAYBIRD CIR W,32257,Jacksonville,FL
12147 AMBROSIA CT,32223,Jacksonville,FL
14667 CAPSTAN DR,32226,Jacksonville,FL
13858 SOFT WIND TRL N,32224,Jacksonville,FL
3910 COLONY COVE TRL,32277,Jacksonville,FL
7144 MADRID AVE,32217,Jacksonville,FL
12501 EAGLES CLAW LN,32225,Jacksonville,FL
13748 HAMMOCK CAY DR,32225,Jacksonville,FL
2801 PARRISH CEMETERY RD,32221,Jacksonville,FL
1151 EVENING STROLL LN,32221,Jacksonville,FL
118 White Marsh Dr,32081,Ponte Vedra,FL
8993 WINDING VINE DR W,32244,Jacksonville,FL
8697 PINEVALLEY LN,32244,Jacksonville,FL
4809 Black Pine Ct,32210,Jacksonville,FL
1408 NICHOLSON RD,32207,Jacksonville,FL
8930 CHISWICK CT,32257,Jacksonville,FL
8200 SHADE TREE CT,32256,Jacksonville,FL
10809 BAHIA DR,32246,Jacksonville,FL
789 Queens Harbor Blvd,32225,Jacksonville,FL
8523 HAMPTON LANDING DR,32256,Jacksonville,FL
11683 Marsh Elder Dr,32226,Jacksonville,FL
3309 Spring Glen Rd,32207,Jacksonville,FL
7632 PILGRIMS TRACE DR,32244,Jacksonville,FL
5746 Fiat Ln,32244,Jacksonville,FL
12035 TYMBER HAMMOCK CT,32223,Jacksonville,FL
8810 Osprey Ln,32217,Jacksonville,FL
1620 Swimming Salmon Pl S,32225,Jacksonville,FL
719 Sid Dr,32218,Jacksonville,FL
7825 Ramona Blvd,32221,Jacksonville,FL
5244 TALLULAH LAKE CT,32224,Jacksonville,FL
789 QUEENS HARBOR BLVD UNIT 1,32225,Jacksonville,FL
2859 CASSIA LN,32246,Jacksonville,FL
10456 Keuka Dr,32218,Jacksonville,FL
5375 OAK BAY DR,32277,Jacksonville,FL
1896 SUNNYMEADE DR,32211,Jacksonville,FL
7921 Los Robles Ct #7921,32256,Jacksonville,FL
1437 Classic Oak Ct,32225,Jacksonville,FL
10101 Garden Lake Ct,32219,Jacksonville,FL
12467 ROYAL TROON LN,32224,Jacksonville,FL
11423 SARASOTA LN,32218,Jacksonville,FL
6942 SALAMANCA AVE W,32217,Jacksonville,FL
5533 COASTAL LN,32258,Jacksonville,FL
426 Overbrook Dr #108,32225,Jacksonville,FL
12901 SILVER SPRINGS DR S,32246,Jacksonville,FL
11401 Ramallah Rd,32219,Jacksonville,FL
12001 E RISING OAKS DR,32223,Jacksonville,FL
6427 Simca Dr,32277,Jacksonville,FL
7303 Adele Ct,32277,Jacksonville,FL
2033 OAKMONT DR,32211,Jacksonville,FL
7745 Deerwood Point Ct #19,32256,Jacksonville,FL
3805 EUNICE RD,32250,Jacksonville,FL
9750 BROCKHAM CT,32221,Jacksonville,FL
9456 HARRIER CT,32221,Jacksonville,FL
14142 Mahogany Ave,32258,Jacksonville,FL
12586 Condor Dr,32223,Jacksonville,FL
13037 Aegean Dr,32246,Jacksonville,FL
4402 HUNTERSTON LN,32224,Jacksonville,FL
8440 Gatepost Ct,32244,Jacksonville,FL
5947 PEELER RD S,32277,Jacksonville,FL
12427 MESA VERDE TRL,32223,Jacksonville,FL
16101 SHELLCRACKER RD,32226,Jacksonville,FL
6952 RAMOTH DR,32226,Jacksonville,FL
8290 Gate Pkwy W UNIT 512,32216,Jacksonville,FL
10630 WILD AZALEA CT,32221,Jacksonville,FL
2971 COVENANT COVE DR,32224,Jacksonville,FL
1130 Le Brun Dr,32205,Jacksonville,FL
4008 FIELD BROOK LN,32223,Jacksonville,FL
3045 BLUE HERON DR N,32223,Jacksonville,FL
400 E Bay St SUITE 610,32202,Jacksonville,FL
7631 Rolling Hills Dr,32221,Jacksonville,FL
8108 NISKA TRL,32244,Jacksonville,FL
2141 Bills Dr,32210,Jacksonville,FL
4457 Barrington Oaks Dr,32257,Jacksonville,FL
3605 SILVERY LN,32217,Jacksonville,FL
12187 BASALT DR N,32246,Jacksonville,FL
13364 Beach Blvd UNIT 431,32224,Jacksonville,FL
7755 Playschool Ln,32210,Jacksonville,FL
3787 CATANIA PL,32224,Jacksonville,FL
2426 ALEXIA CIR,32246,Jacksonville,FL
8680 BANDERA CIR S,32244,Jacksonville,FL
10803 Gladwynne RD,32218,Jacksonville,FL
4744 RAMONA BLVD,32205,Jacksonville,FL
3398 Guernsey Ct,32226,Jacksonville,FL
1043 MARTINIQUE RD,32216,Jacksonville,FL
3084 WATSON DR S,32257,Jacksonville,FL
12861 JULINGTON FOREST DR E,32258,Jacksonville,FL
13810 Sutton Park Dr N APT 926,32224,Jacksonville,FL
